professionID,profession
1,actor
2,miscellaneous
3,producer
4,actress
5,soundtrack
6,archive_footage
7,music_department
8,writer
9,director
10,stunts
11,make_up_department
12,composer
13,assistant_director
14,camera_department
15,music_artist
16,art_department
17,cinematographer
18,casting_director
19,executive
20,visual_effects
21,editor
22,costume_designer
23,script_department
24,art_director
25,editorial_department
26,costume_department
27,animation_department
28,talent_agent
29,archive_sound
30,production_designer
31,special_effects
32,production_manager
33,sound_department
34,casting_department
35,location_management
36,set_decorator
37,transportation_department
38,choreographer
39,legal
40,manager
41,podcaster
42,publicist
